Y ear ,Month ,Entity ID ,Entity Name ,Plant Producer Type ,Plant Name ,Plant State ,Plant ID ,Generator ID ,Net Summer Capacity (MW) ,T echnology ,Energy Source Code ,Prime Mover Code 
2016,6,5517,Dynegy Midwest Generation Inc ,IPP ,Wood River ,IL ,898,5,375.5,Conventional Steam Coal ,SUB ,ST 
2016,6,5701,El Paso Electric Co ,Electric Utility ,Hueco Mountain Wind Ranch ,TX ,55578,EXIS ,1.3,Onshore Wind Turbine ,WND ,WT 
2016,6,50128,Georgia-Pacific Consr Ops LLC-Palatka ,Industrial ,Georgia-Pacific Palatka Operations ,FL ,10611,GEN2 ,7.0,Natural Gas Steam Turbine ,NG ,ST 
2016,6,12807,Michigan South Central Pwr Agy ,Electric Utility ,Endicott Station ,MI ,4259,1,55.0,Conventional Steam Coal ,BIT ,ST 
2016,6,14063,Oklahoma Gas & Electric Co ,Electric Utility ,Horseshoe Lake ,OK ,2951,GT7 ,7.3,Natural Gas Fired Combustion Turbine ,NG ,GT 
2016,6,18125,Stillwater Utilities Authority ,Electric Utility ,Boomer Lake Station ,OK ,3000,2,13.0,Natural Gas Steam Turbine ,NG ,ST 
2016,6,40211,"W abash Valley Power Assn, Inc ",Electric Utility ,W abash Valley Power IGCC ,IN ,57842,1,85.0,Petroleum Coke ,SGP ,CA 
2016,7,7140,Georgia Power Co ,Electric Utility ,Mitchell (GA) ,GA ,727,3,155.0,Conventional Steam Coal ,BIT ,ST 
2016,7,12869,Monterey Regional W aste Mgmt ,Commercial ,Marina Landfill Gas ,CA ,10748,U3J98 ,1.0,Landfill Gas ,LFG ,IC 
2016,7,17578,South Orange Co W astewtr Auth ,Commercial ,Aliso W ater Management Agency ,CA ,10820,GEN1 ,0.4,Other Waste Biomass ,OBG ,IC 
2016,7,17578,South Orange Co W astewtr Auth ,Commercial ,Aliso W ater Management Agency ,CA ,10820,GEN2 ,0.4,Other Waste Biomass ,OBG ,IC 
2016,7,17578,South Orange Co W astewtr Auth ,Commercial ,Aliso W ater Management Agency ,CA ,10820,GEN3 ,0.4,Other Waste Biomass ,OBG ,IC 
2016,8,14534,City of Pasadena - (CA) ,Electric Utility ,Broadway (CA) ,CA ,420,B3 ,71.0,Natural Gas Steam Turbine ,NG ,ST 
2016,8,20838,Win-Sam Inc ,Commercial ,University of Texas at San Antonio ,TX ,54606,GEN1 ,3.3,Natural Gas Internal Combustion Engine ,NG ,IC 
2016,8,20847,Wisconsin Electric Power Co ,Electric Utility ,Twin Falls (MI) ,MI ,1784,1,1.3,Conventional Hydroelectric ,WAT ,HY 
2016,8,20847,Wisconsin Electric Power Co ,Electric Utility ,Twin Falls (MI) ,MI ,1784,2,1.3,Conventional Hydroelectric ,WAT ,HY 
2016,8,20847,Wisconsin Electric Power Co ,Electric Utility ,Twin Falls (MI) ,MI ,1784,3,1.3,Conventional Hydroelectric ,WAT ,HY 
2016,8,20847,Wisconsin Electric Power Co ,Electric Utility ,Twin Falls (MI) ,MI ,1784,4,1.2,Conventional Hydroelectric ,WAT ,HY 
2016,8,20847,Wisconsin Electric Power Co ,Electric Utility ,Twin Falls (MI) ,MI ,1784,5,1.2,Conventional Hydroelectric ,WAT ,HY 
2016,10,6035,Exelon Power ,IPP ,Exelon L Street ,MA ,1587,GT1 ,16.0,Petroleum Liquids ,DFO ,GT 
2016,10,25835,Portland City of ,IPP ,Ground Water Pumping Station ,OR ,50105,GPS1 ,0.9,Conventional Hydroelectric ,WAT ,HY 
2016,10,25835,Portland City of ,IPP ,Ground Water Pumping Station ,OR ,50105,GPS2 ,0.9,Conventional Hydroelectric ,WAT ,HY 
2016,10,25835,Portland City of ,IPP ,Ground Water Pumping Station ,OR ,50105,GPS3 ,0.9,Conventional Hydroelectric ,WAT ,HY 
2016,10,25835,Portland City of ,IPP ,Ground Water Pumping Station ,OR ,50105,GPS4 ,0.9,Conventional Hydroelectric ,WAT ,HY 
2016,10,25835,Portland City of ,IPP ,Ground Water Pumping Station ,OR ,50105,GPS5 ,0.9,Conventional Hydroelectric ,WAT ,HY 
2016,10,25835,Portland City of ,IPP ,Ground Water Pumping Station ,OR ,50105,GPS6 ,0.9,Conventional Hydroelectric ,WAT ,HY 
2016,11,6455,"Duke Energy Florida, Inc ",Electric Utility ,Suwannee River ,FL ,638,1,28.0,Natural Gas Steam Turbine ,NG ,ST 
2016,11,6455,"Duke Energy Florida, Inc ",Electric Utility ,Suwannee River ,FL ,638,2,29.0,Natural Gas Steam Turbine ,NG ,ST 
2016,11,6455,"Duke Energy Florida, Inc ",Electric Utility ,Suwannee River ,FL ,638,3,71.0,Natural Gas Steam Turbine ,NG ,ST 
2016,11,55932,Georgia-Pacific Brewton LLC ,Industrial ,Georgia-Pacific Brewton Mill ,AL ,54789,1TG ,10.5,Wood/Wood Waste Biomass ,BLQ ,ST 
2016,11,14127,Omaha Public Power District ,Electric Utility ,Fort Calhoun ,NE ,2289,1,478.1,Nuclear ,NUC ,ST 
2016,12,5347,Dow Chemical Co ,Industrial ,LaO Energy Systems ,LA ,52006,GEN7 ,95.0,Natural Gas Fired Combined Cycle ,NG ,CT 
2016,12,7160,Geysers Power Co LLC ,IPP ,West Ford Flat Power Plant ,CA ,10199,W FF1 ,15.0,Geothermal ,GEO ,ST 
2016,12,7160,Geysers Power Co LLC ,IPP ,West Ford Flat Power Plant ,CA ,10199,W FF2 ,15.0,Geothermal ,GEO ,ST 
2016,12,13960,NRG Cabrillo Power Ops Inc ,IPP ,El Cajon ,CA ,301,ENCI ,16.0,Natural Gas Fired Combustion Turbine ,NG ,GT 
2016,12,13960,NRG Cabrillo Power Ops Inc ,IPP ,Encina ,CA ,302,ST1 ,106.0,Natural Gas Steam Turbine ,NG ,ST 
2016,12,13960,NRG Cabrillo Power Ops Inc ,IPP ,Kearny ,CA ,303,KEA3 ,61.0,Natural Gas Fired Combustion Turbine ,NG ,GT 
2016,12,13960,NRG Cabrillo Power Ops Inc ,IPP ,Miramar ,CA ,305,MRGT ,36.0,Natural Gas Fired Combustion Turbine ,NG ,GT 
2017,1,5943,Entergy Nuc Fitzpatrick LLC ,IPP ,James A Fitzpatrick ,NY ,6110,1,836.8,Nuclear ,NUC ,ST 
2017,2,57440,"SABIC IP Mt. Vernon, LLC ",Industrial ,SABIC Innovative Plastics Mt. Vernon ,IN ,58063,1,3.0,Conventional Steam Coal ,BIT ,ST 
2017,3,54843,WM Illinois Renewable Energy LLC ,IPP ,Lake Gas Recovery ,IL ,50575,GEN2 ,2.9,Landfill Gas ,LFG ,GT 
2017,3,54843,WM Illinois Renewable Energy LLC ,IPP ,Lake Gas Recovery ,IL ,50575,GEN3 ,2.9,Landfill Gas ,LFG ,GT 
2017,3,54842,WM Renewable Energy LLC ,IPP ,BJ Gas Recovery ,GA ,54392,GEN1 ,0.8,Landfill Gas ,LFG ,IC 
2017,3,54842,WM Renewable Energy LLC ,IPP ,BJ Gas Recovery ,GA ,54392,GEN3 ,0.8,Landfill Gas ,LFG ,IC 
2017,3,54842,WM Renewable Energy LLC ,IPP ,Monroe Livingston Gas Recovery ,NY ,50565,GEN2 ,0.8,Landfill Gas ,LFG ,IC 
2017,4,18445,City of Tallahassee - (FL) ,Electric Utility ,Arvah B Hopkins ,FL ,688,GT1 ,12.0,Natural Gas Fired Combustion Turbine ,NG ,GT 
2017,4,7490,Grand River Dam Authority ,Electric Utility ,GREC ,OK ,165,1,490.0,Conventional Steam Coal ,SUB ,ST 
2017,4,19876,Virginia Electric & Power Co ,Electric Utility ,Yorktown ,VA ,3809,1,159.0,Conventional Steam Coal ,BIT ,ST 
2017,4,19876,Virginia Electric & Power Co ,Electric Utility ,Yorktown ,VA ,3809,2,164.0,Conventional Steam Coal ,BIT ,ST 
2017,5,5701,El Paso Electric Co ,Electric Utility ,Rio Grande ,NM ,2444,6,45.0,Natural Gas Steam Turbine ,NG ,ST 
2017,5,12628,NRG Chalk Point LLC ,IPP ,Chalk Point LLC ,MD ,1571,ST1 ,331.0,Conventional Steam Coal ,BIT ,ST 
2017,5,12628,NRG Chalk Point LLC ,IPP ,Chalk Point LLC ,MD ,1571,ST2 ,336.0,Conventional Steam Coal ,BIT ,ST 
2017,5,15452,PSEG Power Connecticut LLC ,IPP ,Bridgeport Station ,CT ,568,4,16.9,Petroleum Liquids ,KER ,GT 
2017,5,55768,RC Cape May Holdings LLC ,IPP ,B L England ,NJ ,2378,2,150.0,Conventional Steam Coal ,BIT ,ST 
2017,5,55768,RC Cape May Holdings LLC ,IPP ,B L England ,NJ ,2378,3,148.0,Petroleum Liquids ,RFO ,ST 
2017,6,58534,Brayton Point Energy LLC ,IPP ,Brayton Point ,MA ,1619,1,236.1,Conventional Steam Coal ,BIT ,ST 
2017,6,58534,Brayton Point Energy LLC ,IPP ,Brayton Point ,MA ,1619,2,238.6,Conventional Steam Coal ,BIT ,ST 
2017,6,58534,Brayton Point Energy LLC ,IPP ,Brayton Point ,MA ,1619,3,596.3,Conventional Steam Coal ,BIT ,ST 
2017,6,58534,Brayton Point Energy LLC ,IPP ,Brayton Point ,MA ,1619,4,434.0,Petroleum Liquids ,RFO ,ST 
2017,6,9417,Interstate Power and Light Co ,Electric Utility ,Dubuque ,IA ,1046,3,31.1,Natural Gas Steam Turbine ,NG ,ST 
2017,6,9417,Interstate Power and Light Co ,Electric Utility ,Dubuque ,IA ,1046,4,37.5,Natural Gas Steam Turbine ,NG ,ST 
2017,6,9417,Interstate Power and Light Co ,Electric Utility ,Dubuque ,IA ,1046,IC1 ,2.0,Petroleum Liquids ,DFO ,IC 
2017,6,9417,Interstate Power and Light Co ,Electric Utility ,Dubuque ,IA ,1046,IC2 ,1.4,Petroleum Liquids ,DFO ,IC 
2017,6,54899,NAES Corporation - (DE) ,IPP ,McKee Run ,DE ,599,1,17.0,Natural Gas Steam Turbine ,NG ,ST 
2017,6,54899,NAES Corporation - (DE) ,IPP ,McKee Run ,DE ,599,2,17.0,Natural Gas Steam Turbine ,NG ,ST 
2017,6,18642,Tennessee Valley Authority ,Electric Utility ,Paradise ,KY ,1378,1,628.0,Conventional Steam Coal ,BIT ,ST 
2017,6,18642,Tennessee Valley Authority ,Electric Utility ,Paradise ,KY ,1378,2,602.0,Conventional Steam Coal ,BIT ,ST 
2017,6,54842,WM Renewable Energy LLC ,IPP ,New Milford Gas Recovery ,CT ,50564,GEN4 ,0.8,Landfill Gas ,LFG ,IC 
2017,8,14624,PUD No 2 of Grant County ,Electric Utility ,W anapum ,WA ,3888,3,103.8,Conventional Hydroelectric ,WAT ,HY 
2017,8,14624,PUD No 2 of Grant County ,Electric Utility ,W anapum ,WA ,3888,4,103.8,Conventional Hydroelectric ,WAT ,HY 
2017,10,18445,City of Tallahassee - (FL) ,Electric Utility ,S O Purdom ,FL ,689,GT1 ,10.0,Natural Gas Fired Combustion Turbine ,NG ,GT 
2017,10,18445,City of Tallahassee - (FL) ,Electric Utility ,S O Purdom ,FL ,689,GT2 ,10.0,Natural Gas Fired Combustion Turbine ,NG ,GT 
2017,10,5677,W aste Energy Services Inc ,Electric CHP ,W aste Energy Services ,MI ,50077,CAT1 ,0.5,Landfill Gas ,LFG ,IC 
2017,10,5677,W aste Energy Services Inc ,Electric CHP ,W aste Energy Services ,MI ,50077,CAT2 ,0.3,Landfill Gas ,LFG ,IC 
2017,10,5677,W aste Energy Services Inc ,Electric CHP ,W aste Energy Services ,MI ,50077,CAT3 ,0.3,Landfill Gas ,LFG ,IC 
2017,10,5677,W aste Energy Services Inc ,Electric CHP ,W aste Energy Services ,MI ,50077,CAT4 ,0.3,Landfill Gas ,LFG ,IC 
2017,12,463,Ameresco LFG I Inc ,IPP ,Al Turi ,NY ,10549,3010,0.8,Landfill Gas ,LFG ,IC 
2017,12,56730,Cedar Bay Operating Services LLC ,Electric CHP ,Cedar Bay Generating Company LP ,FL ,10672,GEN1 ,250.0,Conventional Steam Coal ,BIT ,ST 
2017,12,5701,El Paso Electric Co ,Electric Utility ,Newman ,TX ,3456,4,83.0,Natural Gas Fired Combined Cycle ,NG ,CA 
2017,12,5701,El Paso Electric Co ,Electric Utility ,Newman ,TX ,3456,CT1 ,72.0,Natural Gas Fired Combined Cycle ,NG ,CT 
2017,12,5701,El Paso Electric Co ,Electric Utility ,Newman ,TX ,3456,CT2 ,72.0,Natural Gas Fired Combined Cycle ,NG ,CT 
2017,12,5701,El Paso Electric Co ,Electric Utility ,Rio Grande ,NM ,2444,7,46.0,Natural Gas Steam Turbine ,NG ,ST 
2017,12,7160,Geysers Power Co LLC ,IPP ,Geysers Unit 5-20 ,CA ,286,U10 ,30.0,Geothermal ,GEO ,ST 
2017,12,7160,Geysers Power Co LLC ,IPP ,Geysers Unit 5-20 ,CA ,286,U9 ,30.0,Geothermal ,GEO ,ST 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Burlington (IA) ,IA ,1104,GT1 ,15.2,Natural Gas Fired Combustion Turbine ,NG ,GT 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Burlington (IA) ,IA ,1104,GT2 ,13.4,Natural Gas Fired Combustion Turbine ,NG ,GT 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Burlington (IA) ,IA ,1104,GT3 ,14.2,Natural Gas Fired Combustion Turbine ,NG ,GT 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Burlington (IA) ,IA ,1104,GT4 ,16.1,Natural Gas Fired Combustion Turbine ,NG ,GT 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Centerville ,IA ,1105,1,2.1,Petroleum Liquids ,DFO ,IC 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Centerville ,IA ,1105,2,1.8,Petroleum Liquids ,DFO ,IC 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Centerville ,IA ,1105,3,1.9,Petroleum Liquids ,DFO ,IC 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Centerville ,IA ,1105,GT1 ,21.6,Petroleum Liquids ,DFO ,GT 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Centerville ,IA ,1105,GT2 ,25.7,Petroleum Liquids ,DFO ,GT 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Fox Lake ,MN ,1888,1,13.2,Natural Gas Steam Turbine ,NG ,ST 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Fox Lake ,MN ,1888,3,85.2,Natural Gas Steam Turbine ,NG ,ST 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Grinnell ,IA ,7137,1,23.7,Natural Gas Fired Combustion Turbine ,NG ,GT 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Grinnell ,IA ,7137,2,20.6,Natural Gas Fired Combustion Turbine ,NG ,GT 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Sutherland ,IA ,1077,1,27.9,Natural Gas Steam Turbine ,NG ,ST 
2017,12,9417,Interstate Power and Light Co ,Electric Utility ,Sutherland ,IA ,1077,3,80.8,Natural Gas Steam Turbine ,NG ,ST 
2017,12,58100,Middle Tennessee State University ,Commercial ,MTSU Power Co-Gen Plant ,TN ,58179,SG-01 ,2.0,Petroleum Liquids ,DFO ,IC 
2017,12,58100,Middle Tennessee State University ,Commercial ,MTSU Power Co-Gen Plant ,TN ,58179,SG-02 ,2.0,Petroleum Liquids ,DFO ,IC 
2017,12,58100,Middle Tennessee State University ,Commercial ,MTSU Power Co-Gen Plant ,TN ,58179,SG-03 ,2.0,Petroleum Liquids ,DFO ,IC 
2017,12,58100,Middle Tennessee State University ,Commercial ,MTSU Power Co-Gen Plant ,TN ,58179,SG-04 ,2.0,Petroleum Liquids ,DFO ,IC 
2017,12,58100,Middle Tennessee State University ,Commercial ,MTSU Power Co-Gen Plant ,TN ,58179,SG-05 ,2.0,Petroleum Liquids ,DFO ,IC 
2017,12,13960,NRG Cabrillo Power Ops Inc ,IPP ,Encina ,CA ,302,2,104.0,Natural Gas Steam Turbine ,NG ,ST 
2017,12,13960,NRG Cabrillo Power Ops Inc ,IPP ,Encina ,CA ,302,3,110.0,Natural Gas Steam Turbine ,NG ,ST 
2017,12,13960,NRG Cabrillo Power Ops Inc ,IPP ,Encina ,CA ,302,4,300.0,Natural Gas Steam Turbine ,NG ,ST 
2017,12,13960,NRG Cabrillo Power Ops Inc ,IPP ,Encina ,CA ,302,5,330.0,Natural Gas Steam Turbine ,NG ,ST 
2017,12,13960,NRG Cabrillo Power Ops Inc ,IPP ,Encina ,CA ,302,GT1 ,14.0,Natural Gas Fired Combustion Turbine ,NG ,GT 
2017,12,13407,Nevada Power Co ,Electric Utility ,Reid Gardner ,NV ,2324,4,257.0,Conventional Steam Coal ,BIT ,ST 
2017,12,59099,"New Dimension Energy Company, LLC ",IPP ,Altamont Midway Ltd ,CA ,50001,WTGS ,10.9,Onshore Wind Turbine ,WND ,WT 
2017,12,59099,"New Dimension Energy Company, LLC ",IPP ,Dyer Road ,CA ,50818,GEN1 ,10.5,Onshore Wind Turbine ,WND ,WT 
2017,12,59099,"New Dimension Energy Company, LLC ",IPP ,Santa Clara (85C) ,CA ,50534,W GNS ,18.0,Onshore Wind Turbine ,WND ,WT 
2017,12,13781,Northern States Power Co - Minnesota ,Electric Utility ,Red Wing ,MN ,1926,1,9.0,Municipal Solid Waste ,MSW ,ST 
2017,12,13781,Northern States Power Co - Minnesota ,Electric Utility ,Red Wing ,MN ,1926,2,9.0,Municipal Solid Waste ,MSW ,ST 
2017,12,14063,Oklahoma Gas & Electric Co ,Electric Utility ,Mustang ,OK ,2953,3,121.0,Natural Gas Steam Turbine ,NG ,ST 
2017,12,14063,Oklahoma Gas & Electric Co ,Electric Utility ,Mustang ,OK ,2953,4,259.0,Natural Gas Steam Turbine ,NG ,ST 
2017,12,14030,Oklahoma State University ,Commercial ,Oklahoma State University ,OK ,54779,GEN1 ,1.6,Natural Gas Steam Turbine ,NG ,ST 
2017,12,14030,Oklahoma State University ,Commercial ,Oklahoma State University ,OK ,54779,GEN2 ,1.6,Natural Gas Steam Turbine ,NG ,ST 
2017,12,14030,Oklahoma State University ,Commercial ,Oklahoma State University ,OK ,54779,GEN4 ,5.2,Natural Gas Steam Turbine ,NG ,ST 
2017,12,14328,Pacific Gas & Electric Co ,Electric Utility ,Balch 2 ,CA ,218,2,52.5,Conventional Hydroelectric ,WAT ,HY 
2017,12,14328,Pacific Gas & Electric Co ,Electric Utility ,Balch 2 ,CA ,218,3,52.5,Conventional Hydroelectric ,WAT ,HY 
2017,12,14328,Pacific Gas & Electric Co ,Electric Utility ,Cow Creek ,CA ,229,1,0.9,Conventional Hydroelectric ,WAT ,HY 
2017,12,14328,Pacific Gas & Electric Co ,Electric Utility ,Cow Creek ,CA ,229,2,0.9,Conventional Hydroelectric ,WAT ,HY 
2017,12,14328,Pacific Gas & Electric Co ,Electric Utility ,Kilarc ,CA ,253,1,1.6,Conventional Hydroelectric ,WAT ,HY 
2017,12,14328,Pacific Gas & Electric Co ,Electric Utility ,Kilarc ,CA ,253,2,1.6,Conventional Hydroelectric ,WAT ,HY 
2017,12,15466,Public Service Co of Colorado ,Electric Utility ,Valmont ,CO ,477,5,184.0,Conventional Steam Coal ,BIT ,ST 
2017,12,15473,Public Service Co of NM ,Electric Utility ,San Juan ,NM ,2451,2,340.0,Conventional Steam Coal ,BIT ,ST 
2017,12,15473,Public Service Co of NM ,Electric Utility ,San Juan ,NM ,2451,3,497.0,Conventional Steam Coal ,BIT ,ST 
2017,12,18642,Tennessee Valley Authority ,Electric Utility ,Johnsonville ,TN ,3406,1,107.0,Conventional Steam Coal ,SUB ,ST 
2017,12,18642,Tennessee Valley Authority ,Electric Utility ,Johnsonville ,TN ,3406,2,107.0,Conventional Steam Coal ,SUB ,ST 
2017,12,18642,Tennessee Valley Authority ,Electric Utility ,Johnsonville ,TN ,3406,3,107.0,Conventional Steam Coal ,SUB ,ST 
2017,12,18642,Tennessee Valley Authority ,Electric Utility ,Johnsonville ,TN ,3406,4,107.0,Conventional Steam Coal ,SUB ,ST 
2018,1,12541,City of Milford - (IA) ,Electric Utility ,Milford ,IA ,1164,1,0.6,Petroleum Liquids ,DFO ,IC 
2018,1,12541,City of Milford - (IA) ,Electric Utility ,Milford ,IA ,1164,4,0.5,Petroleum Liquids ,DFO ,IC 
2018,1,17891,City of St Marys - (OH) ,Electric Utility ,St Marys ,OH ,2942,7,12.0,Petroleum Liquids ,DFO ,GT 
2018,4,18445,City of Tallahassee - (FL) ,Electric Utility ,Arvah B Hopkins ,FL ,688,GT2 ,24.0,Natural Gas Fired Combustion Turbine ,NG ,GT 
2018,4,6455,"Duke Energy Florida, Inc ",Electric Utility ,Crystal River ,FL ,628,1,370.0,Conventional Steam Coal ,BIT ,ST 
2018,4,6455,"Duke Energy Florida, Inc ",Electric Utility ,Crystal River ,FL ,628,2,499.0,Conventional Steam Coal ,BIT ,ST 
2018,6,9397,International Turbine Res Inc ,IPP ,Dinosaur Point ,CA ,10005,WTGS ,17.0,Onshore Wind Turbine ,WND ,WT 
2018,7,7308,Hawkeye Energy Greenport LLC ,IPP ,Hawkeye Energy Greenport LLC ,NY ,55969,U-01 ,52.7,Petroleum Liquids ,KER ,GT 
2018,7,15466,Public Service Co of Colorado ,Electric Utility ,Salida ,CO ,474,1,0.8,Conventional Hydroelectric ,WAT ,HY 
2018,9,17166,Sierra Pacific Power Co ,Electric Utility ,Fort Churchill ,NV ,2330,1,113.0,Natural Gas Steam Turbine ,NG ,ST 
2018,10,56997,Marina Energy LLC ,Commercial ,Stockton Athletic Center ,NJ ,57864,2LOT7 ,0.5,Solar Photovoltaic ,SUN ,PV 
2018,10,56516,"Morris Energy Operations Company, LLC ",Electric CHP ,Bayonne Plant Holding LLC ,NJ ,50497,GTG1 ,163.0,Natural Gas Fired Combined Cycle ,NG ,CT 
2018,10,56516,"Morris Energy Operations Company, LLC ",Electric CHP ,Bayonne Plant Holding LLC ,NJ ,50497,GTG2 ,,Natural Gas Fired Combined Cycle ,NG ,CT 
2018,10,56516,"Morris Energy Operations Company, LLC ",Electric CHP ,Bayonne Plant Holding LLC ,NJ ,50497,GTG3 ,,Natural Gas Fired Combined Cycle ,NG ,CT 
2018,10,56516,"Morris Energy Operations Company, LLC ",Electric CHP ,Bayonne Plant Holding LLC ,NJ ,50497,STG1 ,,Natural Gas Fired Combined Cycle ,NG ,CA 
2018,12,16604,City of San Antonio - (TX) ,Electric Utility ,J T Deely ,TX ,6181,1,420.0,Conventional Steam Coal ,SUB ,ST 
2018,12,16604,City of San Antonio - (TX) ,Electric Utility ,J T Deely ,TX ,6181,2,420.0,Conventional Steam Coal ,SUB ,ST 
2018,12,12384,Midwest Generations EME LLC ,IPP ,Will County ,IL ,884,4,510.0,Conventional Steam Coal ,SUB ,ST 
2018,12,12686,Mississippi Power Co ,Electric Utility ,Sweatt ,MS ,2048,1,46.0,Natural Gas Steam Turbine ,NG ,ST 
2018,12,12686,Mississippi Power Co ,Electric Utility ,Sweatt ,MS ,2048,2,46.0,Natural Gas Steam Turbine ,NG ,ST 
2018,12,20856,Wisconsin Power & Light Co ,Electric Utility ,Edgewater ,WI ,4050,4,302.4,Conventional Steam Coal ,SUB ,ST 
2019,6,29926,Entergy Nuclear Generation Co ,IPP ,Pilgrim Nuclear Power Station ,MA ,1590,1,682.3,Nuclear ,NUC ,ST 
2019,8,14624,PUD No 2 of Grant County ,Electric Utility ,W anapum ,WA ,3888,8,103.8,Conventional Hydroelectric ,WAT ,HY 
2019,9,17166,Sierra Pacific Power Co ,Electric Utility ,Brunswick ,NV ,6510,1,2.0,Petroleum Liquids ,DFO ,IC 
2019,9,17166,Sierra Pacific Power Co ,Electric Utility ,Brunswick ,NV ,6510,2,2.0,Petroleum Liquids ,DFO ,IC 
2019,9,17166,Sierra Pacific Power Co ,Electric Utility ,Brunswick ,NV ,6510,3,2.0,Petroleum Liquids ,DFO ,IC 
2019,10,22148,AES Alamitos LLC ,IPP ,AES Alamitos LLC ,CA ,315,1,175.0,Natural Gas Steam Turbine ,NG ,ST 
2019,10,22148,AES Alamitos LLC ,IPP ,AES Alamitos LLC ,CA ,315,2,175.0,Natural Gas Steam Turbine ,NG ,ST 
2019,10,22148,AES Alamitos LLC ,IPP ,AES Alamitos LLC ,CA ,315,5,485.0,Natural Gas Steam Turbine ,NG ,ST 
